thisN,thisTrialN,thisRepN,probeMouse.x,probeMouse.y,probeMouse.leftButton,probeMouse.midButton,probeMouse.rightButton,probeMouse.time,probeMouse.mouseOnProbes,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,testingBlk.started,testingBlk.stopped,trials.probeMouse.x,trials.probeMouse.y,trials.probeMouse.leftButton,trials.probeMouse.midButton,trials.probeMouse.rightButton,trials.probeMouse.time,trials.probeMouse.mouseOnProbes,rspIndex,missingRsp,ITI.started,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.049081800039857626,0.04936519986949861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060705,001,2025-05-27_20h34.02.235,KeoghRevisedRetrocueTask,2024.2.4,74.8390400115712,2025-05-27 20h34.05.927154 -0700,
0,0,0,[0.0],[0.0],[0],[0],[0],[0.013404499972239137],[True],0,0,0,0,0,0,0,0,0.053569099865853786,,,,0.04953399999067187,0.049674500012770295,0.049948700005188584,0.050088000018149614,0.05361319985240698,0.5502039999701083,0.5553387999534607,3.5539617999456823,3,3.5572508999612182,4.0543495998717844,4.057694599963725,4.554807199863717,4.556616500020027,4.556770500028506,4.572508099954575,4.573091699974611,[0.0],[0.0],[0],[0],[0],[0.013404499972239137],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,4.586313900072128,4.586424899986014,060705,001,2025-05-27_20h34.02.235,KeoghRevisedRetrocueTask,2024.2.4,74.8390400115712,2025-05-27 20h34.05.927154 -0700,
1,0,1,[0.0],[0.0],[0],[0],[0],[0.013539199950173497],[True],0,0,0,0,1,0,1,0,4.5991960999090225,,,,,,4.586664200061932,4.5867930999957025,4.599246500059962,5.086900699883699,5.093164999969304,8.09020880004391,3,8.09179800003767,8.590572099899873,8.5926133999601,9.091022599954158,9.092712400015444,9.092876399867237,9.110422099940479,9.110930899856612,[0.0],[0.0],[0],[0],[0],[0.013539199950173497],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,9.12402329989709,9.12415699986741,060705,001,2025-05-27_20h34.02.235,KeoghRevisedRetrocueTask,2024.2.4,74.8390400115712,2025-05-27 20h34.05.927154 -0700,
2,0,2,[0.0],[0.0],[0],[0],[0],[0.013285799883306026],[True],0,0,0,0,2,0,2,0,9.136806800030172,,,,,,9.124419699888676,9.12452879990451,9.136842699954286,9.624672800069675,9.630606699967757,12.628290300024673,3,12.629804299911484,13.12864000000991,13.13066180003807,13.62904420006089,13.630872200010344,13.631030699936673,13.647728099953383,13.64822049997747,[0.0],[0.0],[0],[0],[0],[0.013285799883306026],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,13.661787299904972,13.661912600044161,060705,001,2025-05-27_20h34.02.235,KeoghRevisedRetrocueTask,2024.2.4,74.8390400115712,2025-05-27 20h34.05.927154 -0700,
3,0,3,[0.0],[0.0],[0],[0],[0],[0.01347199990414083],[True],0,0,0,0,3,0,3,0,13.674667000072077,,,,,,13.662147499853745,13.662252400070429,13.674716299865395,14.162568799918517,14.168218499980867,17.16572179994546,3,17.167269399855286,17.666116900043562,17.66819279990159,18.166588000021875,18.16832960001193,18.16848969995044,18.18560369987972,18.186085799941793,[0.0],[0.0],[0],[0],[0],[0.01347199990414083],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,18.199354300042614,18.199514699866995,060705,001,2025-05-27_20h34.02.235,KeoghRevisedRetrocueTask,2024.2.4,74.8390400115712,2025-05-27 20h34.05.927154 -0700,
4,0,4,,,,,,,,,,,,4,0,4,0,18.212291700067,,,,,,18.199777599889785,18.199885400012136,18.21232290007174,18.700003899866715,18.70592169999145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
