thisN,thisTrialN,thisRepN,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.08069560000149067,0.08113299999968149,,,442698,001,2025-05-05_17h40.13.969,KeoghRevisedRetrocueTask,2024.2.4,60.017921351967786,2025-05-05 17h40.19.817799 -0700,
0,0,0,0,0,0,0,0,0,0,0,,,,,0.08137440000064089,0.08158800000092015,,,,,,,,
