thisN,thisTrialN,thisRepN,probeMouse.x,probeMouse.y,probeMouse.leftButton,probeMouse.midButton,probeMouse.rightButton,probeMouse.time,probeMouse.mouseOnProbes,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,testingBlk.started,testingBlk.stopped,trials.probeMouse.x,trials.probeMouse.y,trials.probeMouse.leftButton,trials.probeMouse.midButton,trials.probeMouse.rightButton,trials.probeMouse.time,trials.probeMouse.mouseOnProbes,rspIndex,missingRsp,ITI.started,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.08532339986413717,0.08578259986825287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864199,001,2025-06-25_14h25.21.862,KeoghRevisedRetrocueTask,2024.2.4,60.15439224827147,2025-06-25 14h25.26.304170 -0700,
0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.01887959986925125, 0.03547709994018078, 0.05202189995907247, 0.06883789994753897, 0.08542659995146096, 0.10187949985265732, 0.11850239988416433, 0.13537169992923737, 0.15185939986258745, 0.1685748000163585, 0.18553789984434843, 0.20182699989527464, 0.2185115998145193, 0.23565859999507666, 0.25221029995009303, 0.2687431999947876, 0.2856352999806404, 0.3020182999316603, 0.31859919987618923, 0.33524199994280934, 0.35186649998649955, 0.3687570998445153, 0.38510419987142086, 0.40177290001884103, 0.41838059993460774, 0.4352212999947369, 0.4517713999375701, 0.468727899948135, 0.48528319993056357, 0.5021224999800324, 0.5189288000110537, 0.5355823999270797, 0.5519393999129534, 0.5686183997895569, 0.5855351998470724, 0.6024158999789506, 0.6187358999159187, 0.6352959999348968, 0.6520920998882502, 0.6687966999597847, 0.6856789998710155, 0.7022483998443931, 0.7188988998532295, 0.7353301998227835, 0.751941499998793, 0.7687284999992698, 0.7853291998617351, 0.8020466999150813, 0.8188618998974562, 0.835656699957326, 0.8520229000132531, 0.8686428999062628, 0.8852401999756694, 0.901977299945429, 0.918808399932459, 0.9361231999937445, 0.9520798998419195, 0.9694802998565137, 0.9854991999454796, 1.0020705999340862, 1.0184735998045653, 1.0363079998642206, 1.051859200000763, 1.0700711999088526]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",0,0,0,0,0,0,0,0,0.09492870001122355,,,,0.08603859995491803,0.08629399980418384,0.08669749996624887,0.08693349990062416,0.09501669998280704,0.5871961999218911,0.6089406998362392,3.6050246998202056,3,3.609975300030783,4.105705099878833,4.110294600017369,4.606732100015506,6.612413699971512,6.612996999872848,6.620817999821156,7.688852899940684,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.01887959986925125, 0.03547709994018078, 0.05202189995907247, 0.06883789994753897, 0.08542659995146096, 0.10187949985265732, 0.11850239988416433, 0.13537169992923737, 0.15185939986258745, 0.1685748000163585, 0.18553789984434843, 0.20182699989527464, 0.2185115998145193, 0.23565859999507666, 0.25221029995009303, 0.2687431999947876, 0.2856352999806404, 0.3020182999316603, 0.31859919987618923, 0.33524199994280934, 0.35186649998649955, 0.3687570998445153, 0.38510419987142086, 0.40177290001884103, 0.41838059993460774, 0.4352212999947369, 0.4517713999375701, 0.468727899948135, 0.48528319993056357, 0.5021224999800324, 0.5189288000110537, 0.5355823999270797, 0.5519393999129534, 0.5686183997895569, 0.5855351998470724, 0.6024158999789506, 0.6187358999159187, 0.6352959999348968, 0.6520920998882502, 0.6687966999597847, 0.6856789998710155, 0.7022483998443931, 0.7188988998532295, 0.7353301998227835, 0.751941499998793, 0.7687284999992698, 0.7853291998617351, 0.8020466999150813, 0.8188618998974562, 0.835656699957326, 0.8520229000132531, 0.8686428999062628, 0.8852401999756694, 0.901977299945429, 0.918808399932459, 0.9361231999937445, 0.9520798998419195, 0.9694802998565137, 0.9854991999454796, 1.0020705999340862, 1.0184735998045653, 1.0363079998642206, 1.051859200000763, 1.0700711999088526]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",1,True,7.7049100999720395,7.70513919997029,864199,001,2025-06-25_14h25.21.862,KeoghRevisedRetrocueTask,2024.2.4,60.15439224827147,2025-06-25 14h25.26.304170 -0700,
1,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.028546500019729137, 0.045389699982479215, 0.061659099999815226, 0.07855629990808666, 0.094677799846977, 0.11130680004134774, 0.12827569991350174, 0.1444727999623865, 0.16124299983493984, 0.17809189995750785, 0.19451429997570813, 0.21112279989756644, 0.2278825999237597, 0.24454799992963672, 0.2607607999816537, 0.2782319998368621, 0.29461999982595444, 0.31155300000682473, 0.32812940003350377, 0.3446339999791235, 0.3619464999064803, 0.3785388998221606, 0.3956513998564333, 0.41205789986997843, 0.428139999974519, 0.4448142999317497, 0.46151619986630976, 0.4785887999460101, 0.49520160001702607, 0.5119943998288363, 0.5282854998949915, 0.5451322998851538, 0.5613903999328613, 0.5781358999665827, 0.5949454999063164, 0.6116471998393536, 0.628295199945569, 0.645308299921453, 0.6620107998605818, 0.6787439999170601, 0.6953060999512672, 0.7119532998185605, 0.7280204999260604, 0.7448511000256985, 0.7616665998939425, 0.7782856998965144, 0.7951034000143409, 0.8116970998235047, 0.8282687999308109, 0.8451914999168366, 0.8614385998807847, 0.8779764999635518, 0.8945904998108745, 0.9117121000308543, 0.9280130998231471, 0.9443743999581784, 0.9610225998330861, 0.9777782999444753, 0.9945869999937713, 1.01120449998416, 1.028041899902746, 1.0448234998621047, 1.0617124999407679, 1.078462699893862, 1.0952885998412967, 1.1119035999290645, 1.1284974999725819, 1.1456801998429]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",0,0,0,0,1,0,1,0,7.719843199942261,,,,,,7.705659399973229,7.705926999915391,7.719976200023666,8.206160699948668,8.227841099957004,11.21350589999929,3,11.218500199960545,11.714202599832788,11.72004249994643,12.215284999925643,14.219664099859074,14.220305199967697,14.236961500020698,15.371931599918753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.028546500019729137, 0.045389699982479215, 0.061659099999815226, 0.07855629990808666, 0.094677799846977, 0.11130680004134774, 0.12827569991350174, 0.1444727999623865, 0.16124299983493984, 0.17809189995750785, 0.19451429997570813, 0.21112279989756644, 0.2278825999237597, 0.24454799992963672, 0.2607607999816537, 0.2782319998368621, 0.29461999982595444, 0.31155300000682473, 0.32812940003350377, 0.3446339999791235, 0.3619464999064803, 0.3785388998221606, 0.3956513998564333, 0.41205789986997843, 0.428139999974519, 0.4448142999317497, 0.46151619986630976, 0.4785887999460101, 0.49520160001702607, 0.5119943998288363, 0.5282854998949915, 0.5451322998851538, 0.5613903999328613, 0.5781358999665827, 0.5949454999063164, 0.6116471998393536, 0.628295199945569, 0.645308299921453, 0.6620107998605818, 0.6787439999170601, 0.6953060999512672, 0.7119532998185605, 0.7280204999260604, 0.7448511000256985, 0.7616665998939425, 0.7782856998965144, 0.7951034000143409, 0.8116970998235047, 0.8282687999308109, 0.8451914999168366, 0.8614385998807847, 0.8779764999635518, 0.8945904998108745, 0.9117121000308543, 0.9280130998231471, 0.9443743999581784, 0.9610225998330861, 0.9777782999444753, 0.9945869999937713, 1.01120449998416, 1.028041899902746, 1.0448234998621047, 1.0617124999407679, 1.078462699893862, 1.0952885998412967, 1.1119035999290645, 1.1284974999725819, 1.1456801998429]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",1,True,15.388467399869114,15.38868789980188,864199,001,2025-06-25_14h25.21.862,KeoghRevisedRetrocueTask,2024.2.4,60.15439224827147,2025-06-25 14h25.26.304170 -0700,
2,0,2,,,,,,,,,,,,2,0,2,0,15.403567999834195,,,,,,15.38915709988214,15.389425199944526,15.403646199963987,15.889650099910796,15.955428799847141,18.951297499937937,3,18.954696099972352,19.45200049993582,19.45786379999481,19.95277089998126,21.958501799963415,21.959216799819842,21.975520399864763,,,,,,,,,,,,,,,,,,,,
