thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.051185799995437264,0.05144979991018772,,,,,,,,,,,,,,,,066860,001,2025-05-27_19h27.50.421,KeoghRevisedRetrocueTask,2024.2.4,75.49129734267555,2025-05-27 19h27.53.870413 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.0601649999152869,,,,0.051607799949124455,0.051730899955146015,0.05199690000154078,0.05211489996872842,0.06110579997766763,0.06125509995035827,0.20706970000173897,3.190153899951838,3,3.1981158999260515,3.6905032999347895,3.7050096999155357,4.190951199969277,4.1988188999239355,4.1989592999452725,066860,001,2025-05-27_19h27.50.421,KeoghRevisedRetrocueTask,2024.2.4,75.49129734267555,2025-05-27 19h27.53.870413 -0700,
1,0,1,0,0,0,0,1,0,1,0,4.209655799902976,,,,,,4.1991079999133945,4.1992199999513105,4.2105697999941185,4.2107124999165535,4.355228999978863,7.340053999912925,3,7.347945899935439,7.8404118999606,7.855918699991889,8.340828999993391,8.36279329995159,8.362990899942815,066860,001,2025-05-27_19h27.50.421,KeoghRevisedRetrocueTask,2024.2.4,75.49129734267555,2025-05-27 19h27.53.870413 -0700,
2,0,2,0,0,0,0,2,0,2,0,8.374029399943538,,,,,,8.363142399932258,8.363261099904776,8.374948399956338,8.375119299977086,8.533014199929312,11.509990299935453,3,11.526463899994269,12.010311299934983,12.019206499913707,12.51073809992522,12.526755500002764,12.526906399987638,066860,001,2025-05-27_19h27.50.421,KeoghRevisedRetrocueTask,2024.2.4,75.49129734267555,2025-05-27 19h27.53.870413 -0700,
3,0,3,0,0,0,0,3,0,3,0,12.53795619995799,,,,,,12.527056399965659,12.527167699998245,12.538800399983302,12.538945999927819,12.69627189997118,15.666697999928147,3,15.676638199947774,16.16700569994282,16.183341500000097,16.6673583999509,16.677060599904507,16.67720079992432,066860,001,2025-05-27_19h27.50.421,KeoghRevisedRetrocueTask,2024.2.4,75.49129734267555,2025-05-27 19h27.53.870413 -0700,
4,0,4,,,,,4,0,4,0,16.688133399933577,,,,,,16.677349599893205,16.67746079992503,16.688981399987824,16.68912559992168,16.846541599952616,,,,,,,,,,,,,,,,
