thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.056637799949385226,0.05694709997624159,,,,,,,,,,,,,,,,556898,001,2025-05-27_19h22.15.824,KeoghRevisedRetrocueTask,2024.2.4,75.77715154674752,2025-05-27 19h22.19.809819 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.06670790002681315,,,,0.057123900041915476,0.05725309997797012,0.057568300049752,0.05769809999037534,0.06768239999655634,0.06786399998236448,0.4024461000226438,3.369421700015664,3,3.3793451000237837,3.8697599000297487,3.8846029000123963,4.370161100057885,4.378428500029258,4.378576699993573,556898,001,2025-05-27_19h22.15.824,KeoghRevisedRetrocueTask,2024.2.4,75.77715154674752,2025-05-27 19h22.19.809819 -0700,
1,0,1,0,0,0,0,1,0,1,0,4.3895704000024125,,,,,,4.37872260005679,4.378835399984382,4.390473400009796,4.39061500004027,4.726465399959125,7.685828999965452,3,7.703417400014587,8.18614919995889,8.195889599970542,8.686524700024165,8.702932100044563,8.70307970000431,556898,001,2025-05-27_19h22.15.824,KeoghRevisedRetrocueTask,2024.2.4,75.77715154674752,2025-05-27 19h22.19.809819 -0700,
2,0,2,,,,,2,0,2,0,8.713586800033227,,,,,,8.703227499965578,8.703340000007302,8.714489600039087,8.714645600062795,9.048153499956243,,,,,,,,,,,,,,,,
