thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02059209999788436,0.021028600000136066,462908,001,2025-05-05_17h27.38.222,KeoghRevisedRetrocueTask,2024.2.4,59.96127700737504,2025-05-05 17h27.45.021198 -0700,
0,0,0,0,0,0,0,,,,,,,,,,,,
