thisN,thisTrialN,thisRepN,probeMouse.x,probeMouse.y,probeMouse.leftButton,probeMouse.midButton,probeMouse.rightButton,probeMouse.time,probeMouse.mouseOnProbes,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,testingBlk.started,testingBlk.stopped,trials.probeMouse.x,trials.probeMouse.y,trials.probeMouse.leftButton,trials.probeMouse.midButton,trials.probeMouse.rightButton,trials.probeMouse.time,trials.probeMouse.mouseOnProbes,rspIndex,missingRsp,ITI.started,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.04636740009300411,0.046653700061142445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677657,001,2025-05-27_20h30.38.486,KeoghRevisedRetrocueTask,2024.2.4,74.90457156423133,2025-05-27 20h30.51.773165 -0700,
0,0,0,[0.0],[0.0],[0],[0],[0],[0.013391700107604265],[True],0,0,0,0,0,0,0,0,0.049814000027254224,,,,0.046812199987471104,0.046941300155594945,0.047204399947077036,0.04732380015775561,0.04986310005187988,0.5474783000536263,0.5541185000911355,3.553007800132036,3,3.5556415000464767,4.053390700137243,4.0555873000994325,4.553808399941772,4.555525900097564,4.555729300016537,4.597493899986148,4.598201600136235,[0.0],[0.0],[0],[0],[0],[0.013391700107604265],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,4.6113954000175,4.6115254000760615,677657,001,2025-05-27_20h30.38.486,KeoghRevisedRetrocueTask,2024.2.4,74.90457156423133,2025-05-27 20h30.51.773165 -0700,
1,0,1,[0.0],[0.0],[0],[0],[0],[0.013548300135880709],[True],0,0,0,0,1,0,1,0,4.624200199963525,,,,,,4.611786500085145,4.611896400107071,4.624247099971399,5.112076600082219,5.117687700083479,8.115675800014287,3,8.11740760016255,8.616064399946481,8.618112000171095,9.116544699994847,9.118606799980626,9.118763300124556,9.148494400084019,9.149206400150433,[0.0],[0.0],[0],[0],[0],[0.013548300135880709],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,9.1621195001062,9.16228050016798,677657,001,2025-05-27_20h30.38.486,KeoghRevisedRetrocueTask,2024.2.4,74.90457156423133,2025-05-27 20h30.51.773165 -0700,
2,0,2,[0.0],[0.0],[0],[0],[0],[0.013201399939134717],[True],0,0,0,0,2,0,2,0,9.175084999995306,,,,,,9.162593099987134,9.162705200025812,9.175145799992606,9.662853900110349,9.668650600127876,12.66645390004851,3,12.668089700164273,13.166824799962342,13.168830099981278,13.667265800060704,13.66908030002378,13.669270999962464,13.699428800027817,13.700032399967313,[0.0],[0.0],[0],[0],[0],[0.013201399939134717],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,13.713076000101864,13.713222899939865,677657,001,2025-05-27_20h30.38.486,KeoghRevisedRetrocueTask,2024.2.4,74.90457156423133,2025-05-27 20h30.51.773165 -0700,
3,0,3,[0.0],[0.0],[0],[0],[0],[0.013700000010430813],[True],0,0,0,0,3,0,3,0,13.726035499945283,,,,,,13.713477400131524,13.713582700118423,13.726077400147915,14.21373419999145,14.21961409994401,17.21706570009701,3,17.2186354000587,17.717450900003314,17.71964960009791,18.21789520001039,18.21984799997881,18.220033700112253,18.25041880016215,18.251148200128227,[0.0],[0.0],[0],[0],[0],[0.013700000010430813],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,18.2641261999961,18.264240400167182,677657,001,2025-05-27_20h30.38.486,KeoghRevisedRetrocueTask,2024.2.4,74.90457156423133,2025-05-27 20h30.51.773165 -0700,
4,0,4,,,,,,,,,,,,4,0,4,0,18.277155400021,,,,,,18.264477099990472,18.264580900082365,18.27720270003192,18.764711800031364,18.77061769994907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
