thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,ITI.started,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0465641999617219,0.046848899917677045,,,,,,,,,,,,,,,,,,072329,001,2025-05-27_20h02.38.116,KeoghRevisedRetrocueTask,2024.2.4,74.88460279402177,2025-05-27 20h02.41.868662 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.050706899957731366,,,,0.047011399990879,0.0471356000052765,0.047414799919351935,0.047835599980317056,0.05075699998997152,0.5479788000229746,0.5635458999313414,3.5616213999455795,3,3.5638204999268055,4.062022699974477,4.064238799968734,4.562472200021148,4.564224899979308,4.564394099987112,4.5724347999785095,4.5726016999688,072329,001,2025-05-27_20h02.38.116,KeoghRevisedRetrocueTask,2024.2.4,74.88460279402177,2025-05-27 20h02.41.868662 -0700,
1,0,1,0,0,0,0,1,0,1,0,4.5857515999814495,,,,,,4.572869699914008,4.572975900024176,4.58580240001902,5.0731319999322295,5.087160600000061,8.085811599972658,3,8.088089699973352,8.586187899927609,8.588335599983111,9.08665299997665,9.08884510002099,9.089043200016022,9.097355199977756,9.097495900001377,072329,001,2025-05-27_20h02.38.116,KeoghRevisedRetrocueTask,2024.2.4,74.88460279402177,2025-05-27 20h02.41.868662 -0700,
2,0,2,,,,,2,0,2,0,9.110581399989314,,,,,,9.09775830002036,9.09790619998239,9.110624099965207,9.598091699997894,9.618232299922965,12.617663600016385,3,12.620063700014725,,,,,,,,,,,,,,,
