thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.11450479999984964,0.11507390000042506,001252,001,2025-05-05_17h37.36.625,KeoghRevisedRetrocueTask,2024.2.4,60.47821332803413,2025-05-05 17h37.41.480024 -0700,
0,0,0,0,0,0,0,,,,,,,,,,,,
