thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,ITI.started,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.04598579998128116,0.04627809999510646,,,,,,,,,,,,,,,,,,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.0498458999209106,,,,0.04643350001424551,0.04656029981561005,0.04682009993121028,0.046938200015574694,0.04989569983445108,0.5470837999600917,0.5656428998336196,3.5639392999000847,3,3.5660085999406874,4.0642081999685615,4.066835999954492,4.564624699996784,4.567013299791142,4.567162399878725,4.577747199917212,4.57786690001376,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
1,0,1,0,0,0,0,1,0,1,0,4.590919099980965,,,,,,4.578092299867421,4.578193299937993,4.590952500002459,5.078345399815589,5.0932581999804825,8.091731099877506,3,8.09361629979685,8.592083499999717,8.594636699883267,9.092624799814075,9.094579399796203,9.09474299987778,9.102234399877489,9.102530899923295,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
2,0,2,0,0,0,0,2,0,2,0,9.11537539982237,,,,,,9.102830199990422,9.102970599895343,9.115409899968654,9.603128399932757,9.613759799860418,12.612547199940309,3,12.614211899926886,13.112887299852446,13.114969699876383,13.6133287998382,13.615123299881816,13.61530419997871,13.626549699809402,13.626708399970084,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
3,0,3,0,0,0,0,3,0,3,0,13.639997699996457,,,,,,13.627028599847108,13.627162099815905,13.640028799884021,14.127317699836567,14.13338809995912,17.130862599937245,3,17.13249529991299,17.631211099913344,17.633208399871364,18.1316240997985,18.1334623999428,18.133634199853987,18.13739709998481,18.13758339988999,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
4,0,4,0,0,0,0,4,0,4,0,18.150951399933547,,,,,,18.137881099944934,18.13801179989241,18.15106249996461,18.63815649994649,18.644340300001204,21.64162169978954,3,21.64348219987005,22.141987199895084,22.14399249991402,22.642445599893108,22.644367899978533,22.644557599909604,22.64832039992325,22.648524899967015,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
5,0,5,0,0,0,0,5,0,5,0,22.661797099979594,,,,,,22.648792399792,22.648906899848953,22.661837099818513,23.1490265999455,23.155232599936426,26.152520099887624,3,26.154242699965835,26.652841300005093,26.65482179983519,27.153274099808186,27.155187299940735,27.155384399928153,27.15918799978681,27.15935319988057,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
6,0,6,0,0,0,0,6,0,6,0,27.172777799889445,,,,,,27.159604099811986,27.15973349986598,27.17281989986077,27.65985449985601,27.675469500012696,30.674222099827603,3,30.675833099987358,31.174553799908608,31.176613899879158,31.67499679978937,31.676969999913126,31.67713909992017,31.68389799981378,31.68402159982361,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
7,0,7,0,0,0,0,7,0,7,0,31.69703229982406,,,,,,31.684246399905533,31.684346499852836,31.697067799977958,32.18450409988873,32.19057529978454,35.18809469998814,3,35.1897914998699,35.688490899978206,35.690728899789974,36.188940099906176,36.190862599993125,36.19103619991802,36.19450719980523,36.19467749982141,962508,001,2025-05-27_20h06.21.622,KeoghRevisedRetrocueTask,2024.2.4,74.94650691162822,2025-05-27 20h06.26.342578 -0700,
8,0,8,,,,,8,0,8,0,36.2078624998685,,,,,,36.194962200010195,36.195088599808514,36.20793619984761,36.695531899807975,36.70132140000351,,,,,,,,,,,,,,,,,,
