thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.015647200001694728,0.01612600000225939,815452,001,2025-05-05_17h28.56.811,KeoghRevisedRetrocueTask,2024.2.4,60.21299745632058,2025-05-05 17h29.01.598530 -0700,
0,0,0,0,0,0,0,,,,,,,,,,,,
