thisN,thisTrialN,thisRepN,probeMouse.x,probeMouse.y,probeMouse.leftButton,probeMouse.midButton,probeMouse.rightButton,probeMouse.time,probeMouse.mouseOnProbes,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,testingBlk.started,testingBlk.stopped,trials.probeMouse.x,trials.probeMouse.y,trials.probeMouse.leftButton,trials.probeMouse.midButton,trials.probeMouse.rightButton,trials.probeMouse.time,trials.probeMouse.mouseOnProbes,rspIndex,missingRsp,ITI.started,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.04785109986551106,0.048138999845832586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872819,001,2025-05-27_20h32.29.301,KeoghRevisedRetrocueTask,2024.2.4,74.91607527736893,2025-05-27 20h32.32.728691 -0700,
0,0,0,[0.0],[0.0],[0],[0],[0],[0.013315199874341488],[True],0,0,0,0,0,0,0,0,0.05174949998036027,,,,0.04829469998367131,0.04842350003309548,0.048752399859949946,0.04891649982891977,0.05179649987258017,0.5491024998482317,0.5604602999519557,3.553595099831,3,3.5568440000060946,4.053979399846867,4.057501999894157,4.554395999992266,4.556435399921611,4.556580499978736,4.57726199994795,4.577783699845895,[0.0],[0.0],[0],[0],[0],[0.013315199874341488],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,4.578135799849406,4.57824179995805,872819,001,2025-05-27_20h32.29.301,KeoghRevisedRetrocueTask,2024.2.4,74.91607527736893,2025-05-27 20h32.32.728691 -0700,
1,0,1,[0.0],[0.0],[0],[0],[0],[0.013634900096803904],[True],0,0,0,0,1,0,1,0,4.590572400018573,,,,,,4.578456799965352,4.578618400031701,4.590622699819505,5.078869899967685,5.090018799994141,8.088677299907431,3,8.090503299841657,8.589059100020677,8.591202999930829,9.089504999807104,9.091517799999565,9.091798099922016,9.115234599914402,9.115820799954236,[0.0],[0.0],[0],[0],[0],[0.013634900096803904],[True],"ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, image='visualObj/square.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128, units='height', win=Window(...))",True,9.116146299988031,9.116248399950564,872819,001,2025-05-27_20h32.29.301,KeoghRevisedRetrocueTask,2024.2.4,74.91607527736893,2025-05-27 20h32.32.728691 -0700,
2,0,2,,,,,,,,,,,,2,0,2,0,9.128490299917758,,,,,,9.116483899997547,9.116590099874884,9.12854259996675,9.616730999900028,9.627902299864218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
