thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.09077539999998407,0.09136209999996936,,,,,,,,,,,,,,,,317746,001,2025-05-05_18h03.47.434,KeoghRevisedRetrocueTask,2024.2.4,60.04112817186796,2025-05-05 18h03.52.458085 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.10454340000069351,,,,0.09163339999940945,0.09187670000028447,0.09226760000092327,0.0925167000023066,0.10633040000175242,0.1068407999991905,0.9022722000008798,3.793985899999825,3,3.80550470000162,4.2946630000005825,4.303800500001671,4.795583099999931,4.806317000002309,4.80708500000037,317746,001,2025-05-05_18h03.47.434,KeoghRevisedRetrocueTask,2024.2.4,60.04112817186796,2025-05-05 18h03.52.458085 -0700,
1,0,1,0,0,0,0,1,0,1,0,4.819931099998939,,,,,,4.807543499999156,4.8078652000003785,4.821609200000239,4.822233999999298,5.548670799998945,8.503565300001355,3,8.522939900001802,9.00415300000168,9.0203419999998,9.505058400001872,9.520748599999934,9.521120699999301,317746,001,2025-05-05_18h03.47.434,KeoghRevisedRetrocueTask,2024.2.4,60.04112817186796,2025-05-05 18h03.52.458085 -0700,
2,0,2,,,,,2,0,2,0,9.535450600000331,,,,,,9.521380500002124,9.521583400000964,9.536913799998729,9.537399000000732,10.108521300000575,,,,,,,,,,,,,,,,
