0.0334 	EXP 	unnamed ImageStim: ori = 0
0.0334 	EXP 	unnamed Polygon: foreColor = [64, 128, 72]
0.0334 	EXP 	unnamed Polygon: fillColor = [64, 128, 72]
0.0334 	EXP 	unnamed Polygon: borderColor = [64, 128, 72]
0.0334 	EXP 	unnamed Polygon: color = [64, 128, 72]
0.0334 	EXP 	unnamed Polygon: autoDraw = True
0.0334 	EXP 	unnamed ImageStim: autoDraw = True
2.0501 	EXP 	unnamed ImageStim: autoDraw = False
2.0531 	INFO 	Keyboard events cleared
2.0554 	EXP 	Created unnamed Polygon = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1, -1,  1]), fillColorSpace='rgb', fillRGB=array([-1, -1,  1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.5, name='unnamed Polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...))
3.3673 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.3701 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.3741 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.4016 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.4046 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.4096 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.4368 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.4435 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.4706 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.4726 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.5041 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.5076 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.5722 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.9396 	DATA 	Mouse: wheel shift=(0,-1), pos=(399,367)
3.9425 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.9698 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
3.9717 	DATA 	Mouse: wheel shift=(0,-1), pos=(399,367)
3.9766 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0019 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0053 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0132 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0377 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0406 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0455 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0711 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.0733 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.1078 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.1388 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.1728 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
